,,,HOW TO USE THIS FILE
,,,Above the below table are indicated the sample sizes of the null hypotheses used to generate it
,,,as well as the number of independent simulations of the null hypothesis used.
,,,"To find the p-value corresponding to your MIC score, look for the largest number less than your"
,,,score in the left-hand column. The p-value of your score is at most the number in the middle
,,,column of that row + the uncertainty listed in the right column of the same row.

,,,**Note that these p-values are uncorrected. This means that you must correct the p-value you
,,,obtain here to account for the number of tests you performed. We suggest doing this by
,,,controlling the false discovery rate.

n = 120, numTrials = 30000000
MIC >= x,gives p <= y,+/- (with 95% confidence)
0.471000,0.000000256,0.000000181
0.465300,0.000000512,0.000000256
0.460990,0.000000768,0.000000314
0.459780,0.000001024,0.000000362
0.455880,0.000001281,0.000000405
0.453730,0.000001537,0.000000444
0.451900,0.000001793,0.000000479
0.450130,0.000002049,0.000000512
0.448320,0.000002305,0.000000543
0.446470,0.000002561,0.000000573
0.445080,0.000002817,0.000000601
0.444230,0.000003073,0.000000627
0.442720,0.000003329,0.000000653
0.441810,0.000003585,0.000000678
0.440840,0.000003842,0.000000701
0.440170,0.000004098,0.000000724
0.439460,0.000004354,0.000000747
0.438960,0.000004610,0.000000768
0.438480,0.000004866,0.000000789
0.437750,0.000005122,0.000000810
0.436870,0.000005378,0.000000830
0.436220,0.000005634,0.000000849
0.435700,0.000005890,0.000000868
0.434980,0.000006147,0.000000887
0.434190,0.000006403,0.000000905
0.433550,0.000006659,0.000000923
0.432770,0.000006915,0.000000941
0.432410,0.000007171,0.000000958
0.432020,0.000007427,0.000000975
0.431750,0.000007683,0.000000992
0.430950,0.000007939,0.000001008
0.430560,0.000008195,0.000001024
0.430190,0.000008452,0.000001040
0.429870,0.000008708,0.000001056
0.429550,0.000008964,0.000001071
0.429000,0.000009220,0.000001087
0.428660,0.000009476,0.000001102
0.428270,0.000009732,0.000001116
0.427970,0.000009988,0.000001131
0.427370,0.000010244,0.000001145
0.426900,0.000010500,0.000001160
0.426460,0.000010756,0.000001174
0.426040,0.000011013,0.000001188
0.425920,0.000011269,0.000001201
0.425770,0.000011525,0.000001215
0.425040,0.000011781,0.000001228
0.424560,0.000012037,0.000001242
0.424340,0.000012293,0.000001255
0.424070,0.000012549,0.000001268
0.424000,0.000012805,0.000001281
0.423760,0.000013061,0.000001293
0.423550,0.000013318,0.000001306
0.423440,0.000013574,0.000001318
0.423250,0.000013830,0.000001331
0.423050,0.000014086,0.000001343
0.422560,0.000014342,0.000001355
0.422400,0.000014598,0.000001367
0.422270,0.000014854,0.000001379
0.421960,0.000015110,0.000001391
0.421700,0.000015366,0.000001403
0.421590,0.000015623,0.000001414
0.421380,0.000015879,0.000001426
0.421170,0.000016135,0.000001437
0.421000,0.000016391,0.000001449
0.420800,0.000016647,0.000001460
0.420630,0.000016903,0.000001471
0.420270,0.000017159,0.000001482
0.420080,0.000017415,0.000001493
0.419740,0.000017671,0.000001504
0.419490,0.000017927,0.000001515
0.419310,0.000018184,0.000001526
0.419160,0.000018440,0.000001537
0.419010,0.000018696,0.000001547
0.418870,0.000018952,0.000001558
0.418740,0.000019208,0.000001568
0.418540,0.000019464,0.000001579
0.418370,0.000019720,0.000001589
0.418250,0.000019976,0.000001599
0.418150,0.000020232,0.000001610
0.417900,0.000020489,0.000001620
0.417740,0.000020745,0.000001630
0.417490,0.000021001,0.000001640
0.417390,0.000021257,0.000001650
0.417270,0.000021513,0.000001660
0.417120,0.000021769,0.000001670
0.416950,0.000022025,0.000001679
0.416790,0.000022281,0.000001689
0.416600,0.000022537,0.000001699
0.416490,0.000022793,0.000001708
0.416280,0.000023050,0.000001718
0.416110,0.000023306,0.000001728
0.415970,0.000023562,0.000001737
0.415830,0.000023818,0.000001746
0.415530,0.000024074,0.000001756
0.415410,0.000024330,0.000001765
0.415110,0.000024586,0.000001774
0.414890,0.000024842,0.000001784
0.414720,0.000025098,0.000001793
0.414550,0.000025355,0.000001802
0.414370,0.000025611,0.000001811
0.414270,0.000025867,0.000001820
0.413980,0.000026123,0.000001829
0.413880,0.000026379,0.000001838
0.413660,0.000026635,0.000001847
0.413440,0.000026891,0.000001856
0.413230,0.000027147,0.000001864
0.413060,0.000027403,0.000001873
0.412960,0.000027660,0.000001882
0.412770,0.000027916,0.000001891
0.412690,0.000028172,0.000001899
0.412570,0.000028428,0.000001908
0.412380,0.000028684,0.000001916
0.412230,0.000028940,0.000001925
0.412120,0.000029196,0.000001934
0.411930,0.000029452,0.000001942
0.411770,0.000029708,0.000001950
0.411700,0.000029964,0.000001959
0.411530,0.000030221,0.000001967
0.411340,0.000030477,0.000001975
0.411260,0.000030733,0.000001984
0.411150,0.000030989,0.000001992
0.411050,0.000031245,0.000002000
0.410890,0.000031501,0.000002008
0.410790,0.000031757,0.000002017
0.410570,0.000032013,0.000002025
0.410400,0.000032269,0.000002033
0.410290,0.000032526,0.000002041
0.410200,0.000032782,0.000002049
0.409990,0.000033038,0.000002057
0.409890,0.000033294,0.000002065
0.409800,0.000033550,0.000002073
0.409630,0.000033806,0.000002081
0.409500,0.000034062,0.000002088
0.409420,0.000034318,0.000002096
0.409350,0.000034574,0.000002104
0.409200,0.000034831,0.000002112
0.409130,0.000035087,0.000002120
0.409050,0.000035343,0.000002127
0.409000,0.000035599,0.000002135
0.408930,0.000035855,0.000002143
0.408820,0.000036111,0.000002150
0.408700,0.000036367,0.000002158
0.408610,0.000036623,0.000002166
0.408500,0.000036879,0.000002173
0.408410,0.000037135,0.000002181
0.408390,0.000037392,0.000002188
0.408300,0.000037648,0.000002196
0.408220,0.000037904,0.000002203
0.408190,0.000038160,0.000002211
0.408110,0.000038416,0.000002218
0.408020,0.000038672,0.000002225
0.407950,0.000038928,0.000002233
0.407800,0.000039184,0.000002240
0.407570,0.000039440,0.000002247
0.407470,0.000039697,0.000002255
0.407390,0.000039953,0.000002262
0.407300,0.000040209,0.000002269
0.407240,0.000040465,0.000002276
0.407140,0.000040721,0.000002283
0.407020,0.000040977,0.000002291
0.406960,0.000041233,0.000002298
0.406800,0.000041489,0.000002305
0.406730,0.000041745,0.000002312
0.406590,0.000042001,0.000002319
0.406480,0.000042258,0.000002326
0.406440,0.000042514,0.000002333
0.406380,0.000042770,0.000002340
0.406280,0.000043026,0.000002347
0.406180,0.000043282,0.000002354
0.406110,0.000043538,0.000002361
0.406080,0.000043794,0.000002368
0.405960,0.000044050,0.000002375
0.405870,0.000044306,0.000002382
0.405800,0.000044563,0.000002389
0.405730,0.000044819,0.000002396
0.405700,0.000045075,0.000002402
0.405630,0.000045331,0.000002409
0.405560,0.000045587,0.000002416
0.405470,0.000045843,0.000002423
0.405400,0.000046099,0.000002430
0.405330,0.000046355,0.000002436
0.405250,0.000046611,0.000002443
0.405180,0.000046868,0.000002450
0.405110,0.000047124,0.000002456
0.405010,0.000047380,0.000002463
0.404920,0.000047636,0.000002470
0.404840,0.000047892,0.000002476
0.404800,0.000048148,0.000002483
0.404710,0.000048404,0.000002490
0.404650,0.000048660,0.000002496
0.404590,0.000048916,0.000002503
0.404500,0.000049172,0.000002509
0.404450,0.000049429,0.000002516
0.404400,0.000049685,0.000002522
0.404300,0.000049941,0.000002529
0.404250,0.000050197,0.000002535
0.404190,0.000050453,0.000002542
